tweet,stemming,label
"iPhone 14 Pro. Kameranya burem, terus desainnya biasa aja
","['iphone', 'pro', 'kamera', 'buram', 'desain']",0
"Udah banyak yang compare, dan untuk hasil jepretan kamera iphone,desain,dan spesifikasi unggul dibandingkan android, tapi memang harganya mahal","['compare', 'hasil', 'jepret', 'kamera', 'iphonedesaindan', 'spesifikasi', 'unggul', 'banding', 'android', 'harga', 'mahal']",0
"betul ini ka dr dulu banyak jg mahasiswa yg pada sewa kamera gt sampe skrg jg temen temenku walau pada hp canggih kamera canggih tp suka pada nyewa iphone cuma tiga hari buat shooting,desain iphone juga keren, dan spesifikasi yg cepat, tapi harganya mahal","['mahasiswa', 'sewa', 'kamera', 'teman', 'temenku', 'handphone', 'canggih', 'kamera', 'canggih', 'suka', 'nyewa', 'iphone', 'shootingdesain', 'iphone', 'keren', 'spesifikasi', 'cepat', 'harga', 'mahal']",0
"spesifikasi iphone yg bagus, tapi sayang harganya mahal dan baterai boros bgt,Kameranya juga burem, terus desainnya biasa aja","['spesifikasi', 'iphone', 'bagus', 'sayang', 'harga', 'mahal', 'baterai', 'boros', 'bgtkameranya', 'buram', 'desain']",-1
"spesifikasi iphone X yg bagus, tapi harganya mahal, tapi kurang suka sama Kameranya burem, terus desainnya biasa aja","['spesifikasi', 'iphone', 'bagus', 'harga', 'mahal', 'suka', 'kamera', 'buram', 'desain']",0
aku pengen bgt jadi affiliate tiktok jadi butuh bgt kamera spek iPhone. Suka jg sama desain dan spesifikasinya cepat. Tapi harganya mahal bgt,"['pengin', 'banget', 'affiliate', 'tiktok', 'butuh', 'banget', 'kamera', 'spek', 'iphone', 'suka', 'desain', 'spesifikasi', 'cepat', 'harga', 'mahal', 'banget']",0
"spesifikasi iphone yg bagus, tapi harganya mahal sekali, tapi kurang suka segi Kameranya burem, terus desainnya biasa aja","['spesifikasi', 'iphone', 'bagus', 'harga', 'mahal', 'suka', 'segi', 'kamera', 'buram', 'desain']",0
"Klo suka spesifikasinya bisa coba iphone, tapi soal harga memang mahal,tapi sekarang iphone Kameranya burem, terus desainnya biasa aja","['suka', 'spesifikasi', 'coba', 'iphone', 'harga', 'mahaltapi', 'iphone', 'kamera', 'buram', 'desain']",0
"Iphone 8+ adalah iphone dengan  spesifikasi terbaik yg bagus, tapi sayang harga mahal,tapi kurang suka sama Kameranya burem, terus desainnya biasa aja","['iphone', 'iphone', 'spesifikasi', 'baik', 'bagus', 'sayang', 'harga', 'mahaltapi', 'suka', 'kamera', 'buram', 'desain']",0
Iphone user menangis liat ini cakepp bangett dongg body hpnyaa soal kamera mah udah gak diragukan lagi cakepp bangett,"['iphone', 'user', 'menang', 'cakep', 'banget', 'body', 'hpnyaa', 'kamera', 'ragu', 'cakep', 'banget']",0
"we kok malah suka model belakang iphone xr ya, cakep aja gitu 1 kamera dan hasil foto kameranya juga bagus","['suka', 'model', 'iphone', 'xr', 'cakep', 'kamera', 'hasil', 'foto', 'kamera', 'bagus']",0
"mau, iphone 13 yg desain kamera bobanya miring wkwk, kameranya jg jernih https://t.co/9dflashdiskmwXmBD","['iphone', 'desain', 'kamera', 'bobanya', 'miring', 'kamera', 'jernih']",0
"Pengen iPhone 13 tp mahal wkwk, butuh kamera gak goyang + harga miring aja. ðŸ¥²","['pengin', 'iphone', 'mahal', 'butuh', 'kamera', 'goyang', 'harga', 'miring']",0
"Iphone jg spesifikasi yg bagus, tapi harganya mahal, kalo skrng Kameranya burem, terus desainnya biasa aja","['iphone', 'spesifikasi', 'bagus', 'harga', 'mahal', 'kamera', 'buram', 'desain']",0
bro ternyata desain kamera belakang iphone 14 besar banget dipake foto kameranya jg cakep bgt,"['desain', 'kamera', 'iphone', 'banget', 'pakai', 'foto', 'kamera', 'cakep', 'banget']",0
"sama tiba-tiba pengen iPhone anjir gak jelas banget. spesifikasinya yg bagus bgt, tapi harganya mahal,Kameranya burem, terus desainnya biasa aja","['tibatiba', 'pengin', 'iphone', 'banget', 'spesifikasi', 'bagus', 'banget', 'harga', 'mahalkameranya', 'buram', 'desain']",0
"iphone kamera belakangnya masih burem kalo foto outdoor. desain juga kurang, tapi spesifikasi yg bagus, tapi harganya mahal","['iphone', 'kamera', 'belakang', 'buram', 'foto', 'outdoor', 'desain', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"@breakupsongss even iphone 3s wkwk, tp sumpah ip 6/7 masih lebih baik soal kamera dirange harga 1jutaan, bahkan ip6s skrg cuma 900K","['even', 'iphone', 'sumpah', 'iphone', 'kamera', 'dirange', 'harga', 'juta', 'ips']",0
"tapi kamera iphone burem sekali,bodynya juga biasa aja, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'buram', 'sekalibodynya', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"kalo iPhone cuma kamera doang bagus, desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['iphone', 'kamera', 'doang', 'bagus', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Review iPhone 11:

Penerus XR ini jg udah mulai terjun bebas harga nya, skrg 5 jutaan udah dapetin iPhone 11 lho.

Chipset A13 bionic nya masih oke banget buat dipake 3-4 tahun kedepan, lagi-lagi diluar kebutuhan 5G ya.
Setup 2 kamera nya jg msh cakep!","['review', 'iphone', 'terus', 'xr', 'terjun', 'bebas', 'harga', 'juta', 'dapat', 'iphone', 'chipset', 'bionic', 'banget', 'pakai', 'depan', 'lagilagi', 'luar', 'butuh', 'setup', 'kamera', 'cakep']",0
@royharyadi_ Yep dan kemampuan finansial juga beda-beda. Yang sanggup beli iPhone segitu kameranya juga mungkin udah pake kamera mirrorless harganya Rp30-50 jutaan.,"['mampu', 'finansial', 'bedabeda', 'sanggup', 'beli', 'iphone', 'segitu', 'kamera', 'pakai', 'kamera', 'mirrorless', 'harga', 'rp', 'juta']",0
"Produk kamera buat ketiak jadi mulus. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['produk', 'kamera', 'ketiak', 'mulus', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Baru sadar, kamera iphone XR emang bekasakep itu, desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['sadar', 'kamera', 'iphone', 'xr', 'bekasakep', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Kalau cahaya melimpah begini, kamera ultra widenya iPhone 13 Pro Max juara sih. desainnya juga lucu, spesifikasi jg cepat, tapi harganya mahal","['cahaya', 'limpah', 'kamera', 'ultra', 'widenya', 'iphone', 'pro', 'max', 'juara', 'desain', 'lucu', 'spesifikasi', 'cepat', 'harga', 'mahal']",0
"iPhone X di tahun 2022, kamera depannya burik. Tapi desain keren, dan spesifikasi yg bagus, tapi harganya mahal","['iphone', 'kamera', 'depan', 'burik', 'desain', 'keren', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Kualitas kamera iphone emang nyatanya bukan kaleng kaleng wkwk. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kualitas', 'kamera', 'iphone', 'kaleng', 'kaleng', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Mending beli iphone 12 pro kalok diliat dari kamera,desain,spesifikasinya dan baterainya. Tapi memang harganya mahal","['mending', 'beli', 'iphone', 'pro', 'kalok', 'kameradesainspesifikasinya', 'baterai', 'harga', 'mahal']",1
"Mending iphone 7 plus 256 gb kalo cuma berkebutuhan untuk sosmed dan kamera video aja siii, ","['mending', 'iphone', 'plus', 'gb', 'butuh', 'sosial media', 'kamera', 'video', 'siii']",0
"Makanya cari yang pake kamera iphone traillernya nder, bagus kameranya, desain juga lucu, dan spesifikasi yg bagus, tapi ya harganya mahal","['cari', 'pakai', 'kamera', 'iphone', 'traillernya', 'bagus', 'kamera', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"pdhl org "" suka kamera iphone kan dr dl krn kayak natural dan apa adanya gitu desain juga keren, dan spesifikasi yg bagus, tapi harganya mahal","['suka', 'kamera', 'iphone', 'natural', 'desain', 'keren', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Gaji kecil tapi pen bgt beli iphone. beli iphone karna mau buat konten atau video gitu. Pengennya sih kamera iphone  ya doang padahal. Tapi desain juga lucu, dan spesifikasi yg bagus, tapi ya harganya mahal","['gaji', 'pengin', 'banget', 'beli', 'iphone', 'beli', 'iphone', 'konten', 'video', 'ken', 'kamera', 'iphone', 'doang', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Pengennya Xiaomi tapi kamera iPhone bagus. Iphone desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['ken', 'xiaomi', 'kamera', 'iphone', 'bagus', 'iphone', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Iphone 6s 128gb udah 4 tahun, minus lcd pecah dan baterai dropðŸ¤£
tapi kamera nya masih cakep pol dan belum lambat juga, masih bisa ikut ios15 udah syukur bgtðŸ™Œ
","['iphone', 'gb', 'minus', 'lcd', 'pecah', 'baterai', 'drop', 'kamera', 'cakep', 'lambat', 'ios', 'syukur', 'banget']",-1
"Saya pake iphone xs skrg, bagi saya yang suka videography, itu sangat nyaman karena kamera xs lebih stabil dri pada iphone lain nya. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal bgt","['pakai', 'iphone', 'suka', 'videography', 'nyaman', 'kamera', 'stabil', 'iphone', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal', 'banget']",0
"kamera jg bagus aku kliatan cakep soalnya di iPhone tmnku. Suka desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'bagus', 'cakep', 'iphone', 'tmnku', 'suka', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"dulu sempet ngomong apaan sih pake iphone mahal cuma kamera doang

setelah ngerasain enaknya bener bener ngebadut ðŸ¤¡ðŸ¤¡ https://t.co/uIbl3Kc9AD https://t.co/oo8vNfAIox","['omong', 'pakai', 'iphone', 'mahal', 'kamera', 'doang', 'rasai', 'enak', 'ngebadut']",0
"iPhone 7 udah mau 6 taun sejak dibeli kalo ga salah, layar banyak baret kecil, kamera kalo foto video masih okok aja sih, baterai gampang abis, hadh https://t.co/M2s0yMKy69","['iphone', 'beli', 'salah', 'layar', 'baret', 'kamera', 'foto', 'video', 'okok', 'baterai', 'gampang', 'habis', 'hadh']",-1
"Kalau dikasi rezeki dari Allah mungkin aku bakal milih iphone,krn tampilan atau kamera sih dan lebih ke keamanan (ex. Icloud) yg banyak yg blg aman ","['kasi', 'rezeki', 'allah', 'pilih', 'iphonekrn', 'tampil', 'kamera', 'aman', 'ex', 'icloud', 'aman']",0
Saya vote iPhone 13. Karna harga dah murah. Spec masih mengancam. Kamera cukup dah buat selfie. https://t.co/aSa1eal48j,"['vote', 'iphone', 'harga', 'murah', 'spec', 'ancam', 'kamera', 'selfie']",0
"Gue keliatan lebih cakep kalau pake kamera iphone. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['cakep', 'pakai', 'kamera', 'iphone', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
Kamera sama tampilanya sih enak aja mainin iphone apalagi dulu terakhir pake ip5s ,"['kamera', 'tampilanya', 'mainin', 'iphone', 'pakai', 'ips']",0
"Kamera iPhone bangus bgt,desain juga keren, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'bangus', 'bgtdesain', 'keren', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
@convomfs krn kamera si suka bgt ama iphone. trus iphone ni gw suka bgt ama desainnya.,"['kamera', 'suka', 'banget', 'iphone', 'iphone', 'suka', 'banget', 'desain']",0
"kualitasnya lebih baguss. dari segi spesifikasi, kamera, dll.  intinya kalau buat ngonten tuh menurut gue iPhone jauh lebih cocok","['kualitas', 'bagus', 'segi', 'spesifikasi', 'kamera', 'dan lain', 'inti', 'ngonten', 'iphone', 'cocok']",0
"sebenernya jasa sewa iPhone ini udah ada dari lama, kayak jasa sewa kamera gt. Soalnya banyak juga yang butuh kamera iPhone untuk project an, karna klo beli terlalu banyak budget","['jasa', 'sewa', 'iphone', 'jasa', 'sewa', 'kamera', 'butuh', 'kamera', 'iphone', 'project', 'beli', 'budget']",0
Sekarang yang iphone kamera ngefreeze terus. wkwk azab orang pelitðŸ¤£,"['iphone', 'kamera', 'ngefreeze', 'azab', 'pelit']",0
"aku suka ngefoto random gak tau ketapi kamera iphone tuh kek baguss banget gitu,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['suka', 'ngefoto', 'random', 'ketap', 'kamera', 'iphone', 'bagus', 'banget', 'gitudesain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Pilih iPhone 14 Plus karena;
1. Kamera depan 12MP  ada autofokus
2. Bateri besar, bisa vlog lama-lama
3. Ada mod cinematic video; iPhone 13 series pun ada jg.","['pilih', 'iphone', 'plus', 'kamera', 'autofokus', 'bateri', 'vlog', 'lamalama', 'mod', 'cinematic', 'video', 'iphone', 'series']",1
"@convomfs karena android: ngelag, memori dikit, kamera kurang, fiturnya ga sebagus iphone
 tp iphone: kudu siap power bank kalo pergi keluar","['android', 'ngelag', 'memori', 'dikit', 'kamera', 'fiturnya', 'bagus', 'iphone', 'iphone', 'power', 'bank', 'pergi']",-1
"Lebih ke kamera nya sih karena gua anak nya demen banget motret dan kamera iphone tuh hasil nya udah hampir setara sama kamera slr, terlebih lagi kamera iphone tuh menurut gua ramah banget di berbagai sosmed,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'gua', 'anak', 'suka', 'banget', 'potret', 'kamera', 'iphone', 'hasil', 'tara', 'kamera', 'slr', 'kamera', 'iphone', 'gua', 'ramah', 'banget', 'sosmeddesain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"gue ngincer kamera doang sih, soalnya gue suka fotoin alam gitu. kalo pake iPhone keliatan asli banget alamnya. desain juga keren, dan spesifikasi yg cepat tapi harganya mahal","['ngincer', 'kamera', 'doang', 'suka', 'foto', 'alam', 'pakai', 'iphone', 'asli', 'banget', 'alam', 'desain', 'keren', 'spesifikasi', 'cepat', 'harga', 'mahal']",0
"gw cantik banget pake kamera iphone temen gw. Terus desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['cantik', 'banget', 'pakai', 'kamera', 'iphone', 'teman', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"bingung bgt temen gue, xr warna merah  bh drop tapi kamera udah jamuran. Tapi desainnya lucu, dan spesifikasi yg bagus, tapi harganya mahal","['bingung', 'banget', 'teman', 'xr', 'warna', 'merah', 'baterai health', 'drop', 'kamera', 'jamur', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",1
"iPhone 14 Pro, Ini HP dengan Kamera Terbaik di Dunia Saat ini, desain juga lucu, dan spesifikasi yg cepat, tapi harganya mahal","['iphone', 'pro', 'handphone', 'kamera', 'baik', 'dunia', 'desain', 'lucu', 'spesifikasi', 'cepat', 'harga', 'mahal']",0
"Karena kamera iphone, blue skynya real. Terus suka sama desainnya lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'blue', 'skynya', 'real', 'suka', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"kamera iphone cakep bgt, desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'cakep', 'banget', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"@convomfs Iphone (11 ke atas) gak pernah nge lag,ga ngehang, terus kamera nya beuh, soalnya gw pakai redmi hp 1nya itu lemotnya minta ampun padahal storage masih banyak","['iphone', 'lagga', 'ngehang', 'kamera', 'beuh', 'pakai', 'redmi', 'handphone', 'lot', 'ampun', 'storage']",0
"kamera, stabilizerr story ig, ga ngelag demi allah mau pake berapa tahun pun iphone gue gak pernah lemot suka. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'stabilizerr', 'story', 'instagram', 'ngelag', 'allah', 'pakai', 'iphone', 'lot', 'suka', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"haha, aku liat kamera iphone 11 cakep sih ðŸ˜‚. Kalau ada rejeki mah aku mau beli iphone 11,karna mahal poll","['kamera', 'iphone', 'cakep', 'rejeki', 'beli', 'iphone', 'mahal', 'poll']",0
"Kamera iphone gabisa bohong,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'enggak bisa', 'bohongdesain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Kamera blkg iphone aku begetar, tapi desain iphone keren, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'blkg', 'iphone', 'begetar', 'desain', 'iphone', 'keren', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Paling sayang dgn teknologi iPhone klo ambil gambar pake kamera, desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['sayang', 'teknologi', 'iphone', 'ambil', 'gambar', 'pakai', 'kamera', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"aku tim android kalo masalah aplikasi2an atau fitur yg di kasih. tp kalo kamera atau kejernihannya bener2 iphone kak. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['tim', 'android', 'aplikasi', 'fitur', 'kasih', 'kamera', 'jernih', 'iphone', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Tergantung kebutuhan. Kalau butuh handphone yang lebih sat set sat set, night mode di kamera ultra wide, dan support jaringan 5G, bisa pilih iPhone 12 bekasond, tapi kalau bisa cari yang ex iBox aja, biar jaringan aman. iPhone 11 juga masih worth it kok.","['gantung', 'butuh', 'butuh', 'handphone', 'sat', 'set', 'sat', 'set', 'night', 'mode', 'kamera', 'ultra', 'wide', 'support', 'jaring', 'pilih', 'iphone', 'bekasond', 'cari', 'ex', 'ibox', 'jaring', 'aman', 'iphone', 'worth']",0
"kamera iphone 13 jelek banget, Tapi desain keren bgt dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'jelek', 'banget', 'desain', 'keren', 'banget', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Gak tau deh, aku itu terlalu seneng sama hasil foto dari kamera iPhone 13 pro max, desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['senang', 'hasil', 'foto', 'kamera', 'iphone', 'pro', 'max', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"dr segi kamera,spesifikasi, desain suka iphone, tapi sayang harganya mahal","['segi', 'kameraspesifikasi', 'desain', 'suka', 'iphone', 'sayang', 'harga', 'mahal']",0
"Salah satu device kebanggaan gue, Iphone 11! Udah pake setahun, ga ada masalah apa2. Performa? ðŸ‘ðŸ» kamera? ðŸ‘ðŸ» setuju gak? #iphone11 https://t.co/Ntm9vkb0YE","['salah', 'device', 'bangga', 'iphone', 'pakai', 'tahun', 'performa', 'kamera', 'tuju']",0
"@mabagemesss btw ip13 menurut reviewer agak kurang sip, lebih milih samsung s21 harga separuhnya. tapi kalo butuh kamera buat sering bikin konten video ya lebih condong ip13.

kalo iphone sekalian 14 aja.","['iphone', 'reviewer', 'sip', 'pilih', 'samsung', 'harga', 'paruh', 'butuh', 'kamera', 'konten', 'video', 'condong', 'iphone', 'iphone']",0
"sekarang cita cita gue adalah beli iphone buat nonton konser karena mau duduk sejauh apa juga tetep jelas recordnya pake kamera iphone. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['cita', 'cita', 'beli', 'iphone', 'tonton', 'konser', 'duduk', 'recordnya', 'pakai', 'kamera', 'iphone', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Bening bgt cuyy kamera iphone 14, desain juga keren bgt, dan spesifikasi yg bagus, tapi harganya mahal","['bening', 'banget', 'kamera', 'iphone', 'desain', 'keren', 'banget', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Iphone 7,Kamera dah jelek, Tapi desain dan spesifikasi masih bagus, harganya juga masih mahal","['iphone', 'kamera', 'jelek', 'desain', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Kamera iPhone 14 Pro Bergetar Saat Foto, Apple Siapkan Perbaikan. Tapi desain dan spesifikasinya keren, sayang harganya lebih mahal","['kamera', 'iphone', 'pro', 'getar', 'foto', 'apple', 'siap', 'baik', 'desain', 'spesifikasi', 'keren', 'sayang', 'harga', 'mahal']",0
"kamera iphone 13 ketapi mantep bgt ya, desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'ketap', 'mantap', 'banget', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"lu hp iphone tp kamera nya jelek bener jir, Tapi desainnya lucu, dan spesifikasi yg bagus, tapi harganya mahal","['handphone', 'iphone', 'kamera', 'jelek', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Foto dan videonya harus pakai kamera IPHONE 14 Pro max, kalo tidak pakai kamera tersebut wajib hukumnya foto dan videonya HOAX. desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['foto', 'video', 'pakai', 'kamera', 'iphone', 'pro', 'max', 'pakai', 'kamera', 'wajib', 'hukum', 'foto', 'video', 'hoax', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"design iPhone sejak ip 11 smpe 14PM *cmiiw, so boring. cuma berubah boba lensa kamera ama notch. gada perubahan signifikan","['design', 'iphone', 'iphone', 'pm', 'cmiiw', 'sok', 'boring', 'ubah', 'boba', 'lensa', 'kamera', 'notch', 'enggak ada', 'ubah', 'signifikan']",0
"kamera iphone 14 ketapi cakep bgt,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'ketap', 'cakep', 'bgtdesain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Pengen punya kamera iPhone biar gak perlu repot-repot edit foto lagi,desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['pengin', 'kamera', 'iphone', 'repotrepot', 'edit', 'foto', 'lagidesain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"kamera iphone memang keren, apalagi desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'keren', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Bukan tidak ingin bersyukur, Tapi kok kamera Iphone gw jelek banget yah. Tapi desain dan spesifikasi yg bagus, tapi harganya mahal","['syukur', 'kamera', 'iphone', 'jelek', 'banget', 'desain', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Kamera gw di iPhone jelek banget, Tapi buat desain masih lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'jelek', 'banget', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"kalo dari kamera sih ya iphone juara kak, Untuk desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['kamera', 'iphone', 'juara', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
"Pengen Upgrade HP ke Iphone 13,selain emang kualitas kamera nya oke,design kamera Bubble 2 nya  itu loh gemesin bgt! ","['pengin', 'upgrade', 'handphone', 'iphone', 'kualitas', 'kamera', 'okedesign', 'kamera', 'bubble', 'gemas', 'banget']",0
"Udah 5 tahun pake iphone 7. Setelah nahan diri karna kerusakan hp satu persatu, ganti baterai beberapa kali, lcd pecah, ampe kamera gabisa digunain sama sekali. Finally yakinin diri buat ganti hp juga","['pakai', 'iphone', 'tahan', 'rusa', 'handphone', 'satu', 'ganti', 'baterai', 'lcd', 'pecah', 'kamera', 'enggak bisa', 'digunain', 'finally', 'yakinin', 'ganti', 'handphone']",-1
"Hasil kamera iPhone 13 pro max emang luar biasa ya ðŸ¥¹
Baru kali ini kayak bangga ama hasil jepretan sendiri ðŸ¥² https://t.co/9QDliaFKKU","['hasil', 'kamera', 'iphone', 'pro', 'max', 'bangga', 'hasil', 'jepret']",0
"pantes hasilnya selalu cakepp pake kamera iphone, apalagi iphone desain juga lucu, dan spesifikasi yg bagus, tapi harganya mahal","['hasil', 'cakep', 'pakai', 'kamera', 'iphone', 'iphone', 'desain', 'lucu', 'spesifikasi', 'bagus', 'harga', 'mahal']",0
